bird-genus,bird-species,bird-sex,plant-genus,plant-species,visitor-mode,mode-confidence,lat,lon,location,elevation,date-observation,source,source-notes,date-accessed,notes
Lesbia,sp.,NA,Fuchsia,sp.,P/T,L,-13.2624,-72.2676,,,11/4/18,"https://macaulaylibrary.org/asset/126697011, 126697001",,1/6/20,same location as previous mis-IDed L. nuna (interesting--are there any L. victoriae this far south? Or are the tails just shorter south?
Lesbia,victoriae,m,Tecoma,capensis,P/T,L,-0.1656,-78.3613,,,7/2/18,https://macaulaylibrary.org/asset/125125921,,1/6/20,
Lesbia,victoriae,m,Callistemon,sp.,P/T,L,-0.1656,-78.3613,,,10/22/18,https://macaulaylibrary.org/asset/124970251,,1/6/20,
Lesbia,victoriae,m,Fuchsia,sp.,NR,L,-0.1865,-78.4858,,,10/29/18,https://macaulaylibrary.org/asset/123466871,,1/6/20,
Lesbia,sp.,f,Lantana,camara,NA,H,-5.8577,-77.9847,,,10/27/18,https://macaulaylibrary.org/asset/121505871,,1/6/20,"IDed as L. victoriae on eBird, but looks like L. nuna, or unclear?"
Lesbia,victoriae,f,Fuchsia,sp.,NR,L,-0.1865,-78.4858,,,10/26/18,https://macaulaylibrary.org/asset/120687071,,1/6/20,
Lesbia,victoriae,m,Aloe,?,NR,H,1.1893,-77.2769,,,10/13/18,https://macaulaylibrary.org/asset/118697951,,1/6/20,
Lesbia,nuna,m,Callistemon,sp.,P/T,L,-13.2725,-72.1873,,,8/17/18,https://macaulaylibrary.org/asset/114614241,,1/6/20,mis-IDed nuna as victoriae?
Lesbia,victoriae,m,?,?,NA,L,-0.2315,-78.5203,,,8/24/18,https://macaulaylibrary.org/asset/113197011,,1/6/20,
Lesbia,sp.,m,Leonotis,leonurus,NA,H,-13.5803,-71.7132,,,7/25/18,https://macaulaylibrary.org/asset/111287601,,1/6/20,
Lesbia,victoriae,m,Vinca,major,NA,H,-0.1656,-78.3613,,,6/23/18,https://macaulaylibrary.org/asset/108479891,,1/6/20,
Lesbia,victoriae,m,Salvia,leucantha,P,L,4.6059,-74.0558,,,7/14/18,https://macaulaylibrary.org/asset/107628801,,1/6/20,
Lesbia,victoriae,m,Brugmansia,sanguinea,NR,H,-0.1165,-78.5234,,,6/2/18,https://macaulaylibrary.org/asset/107502031,,1/6/20,
Lesbia,victoriae,m,?,?,NA,L,-0.4591,-78.3232,,,6/29/18,https://macaulaylibrary.org/asset/105994141,,1/6/20,
Lesbia,victoriae,m,Salvia,leucantha,P,H,4.7211,-73.9674,,,11/15/17,https://macaulaylibrary.org/asset/103234091,,1/6/20,
Lesbia,victoriae,m,Fuchsia,sp.,NR,L,-0.1865,-78.4858,,,4/14/18,https://macaulaylibrary.org/asset/97729801,,1/6/20,
Lesbia,victoriae,m,Lantana,camara,P/T,L,-5.8577,-77.9847,,,1/22/18,https://macaulaylibrary.org/asset/97116901,,1/6/20,
Lesbia,victoriae,m,Fuchsia,magellanica,P/T,H,-0.1865,-78.4858,,,3/23/18,https://macaulaylibrary.org/asset/93983191,,1/6/20,
Lesbia,victoriae,f,Callistemon,sp.,NA,H,-1.6746,-78.6479,,,11/14/17,https://macaulaylibrary.org/asset/77486291,,1/6/20,
Lesbia,victoriae,f,Fuchsia,boliviensis,NA,H,-0.1865,-78.4858,,,10/18/17,https://macaulaylibrary.org/asset/76402391,,1/6/20,
Lesbia,victoriae,NA,Dunalia?,sp.,P,H,-13.4377,-71.6515,,,10/8/16,https://macaulaylibrary.org/asset/75949301,,1/6/20,plant vaguely resembles Dunalia brachyacantha; bird ID uncertain
Lesbia,victoriae,m,Fuchsia,sp.,NR,L,-0.1865,-78.4858,,,11/15/17,https://macaulaylibrary.org/asset/75591711,,1/6/20,
Lesbia,victoriae,m,Salvia,leucantha,P,H,-13.2624,-72.2676,,,10/6/17,https://macaulaylibrary.org/asset/72212221,,1/6/20,mis-IDed nuna as victoriae?
Lesbia,victoriae,f,?,?,NA,H,-0.1826,-78.4671,,,10/16/17,https://macaulaylibrary.org/asset/72142631,,1/6/20,
Lesbia,victoriae,m,?,?,P/T,H,4.2863,-74.2082,,,5/28/17,https://macaulaylibrary.org/asset/59682361,,1/6/20,plant ID could be clearer in this different record: https://macaulaylibrary.org/asset/60796561
Lesbia,victoriae,m,Fuchsia,boliviensis,NR,H,4.6059,-74.0558,,,7/28/15,https://macaulaylibrary.org/asset/57771531,,1/6/20,
